Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.f.pc
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.pcheld:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.dci:{0 0 1 0 0 0 {10} {00001011}}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.paw:U
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.awp:UUU
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.shcnt:00000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.result:00000000000000000000000010000000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.mac:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.y:00000000000000000000000000000000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.cwp:111
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.laddr:00
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.mulstep:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.ymsb:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.rexbuf:00000000000000000000000000000000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.npc:100
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.f.pc:01000000000000000000001100100100
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.annul:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.rstate:run
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.set:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.result:00000000000000000000000000000000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.icc:UUUU
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.getpc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ldchkex:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.mexc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.mulstart:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.rexpos:10
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.annul_all:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.aluop:000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.debug:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.rfe1:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.step:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.rfe2:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.alucin:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.wunf:0
======================================
progstatus: 1
execerr: 521
latent: 1
program execution success!
total iterations: 5
>>>>>>>>>>>>>>> 2637215000
======================================
