Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 57506
586290000 >> iteration no: 0
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
1109115000 >> Error detected...
1111965000 >> Error detected...
1112240000 >> Error detected...
1112815000 >> Error detected...
1113140000 >> Error detected...
1114715000 >> Error detected...
1115340000 >> Error detected...
1115840000 >> Error detected...
1117015000 >> Error detected...
1117865000 >> Error detected...
1118115000 >> Error detected...
1118440000 >> Error detected...
1119015000 >> Error detected...
1119990000 >> Error detected...
1123565000 >> Error detected...
1124190000 >> Error detected...
1125740000 >> Error detected...
1126915000 >> Error detected...
1129940000 >> Error detected...
1130215000 >> Error detected...
1130790000 >> Error detected...
1131115000 >> Error detected...
1132515000 >> Error detected...
1133140000 >> Error detected...
1133815000 >> Error detected...
1134990000 >> Error detected...
1135840000 >> Error detected...
1136090000 >> Error detected...
1136415000 >> Error detected...
1136990000 >> Error detected...
1137965000 >> Error detected...
1141540000 >> Error detected...
1142165000 >> Error detected...
1143715000 >> Error detected...
1144890000 >> Error detected...
1147915000 >> Error detected...
1148190000 >> Error detected...
1148765000 >> Error detected...
1149090000 >> Error detected...
1150490000 >> Error detected...
1151115000 >> Error detected...
1151615000 >> Error detected...
1152965000 >> Error detected...
1153815000 >> Error detected...
1154065000 >> Error detected...
1154390000 >> Error detected...
1154965000 >> Error detected...
1155940000 >> Error detected...
1159515000 >> Error detected...
1160140000 >> Error detected...
1161690000 >> Error detected...
1162865000 >> Error detected...
1165890000 >> Error detected...
1166165000 >> Error detected...
1166740000 >> Error detected...
1167065000 >> Error detected...
1168465000 >> Error detected...
1169090000 >> Error detected...
1169590000 >> Error detected...
1170765000 >> Error detected...
1171615000 >> Error detected...
1172015000 >> Error detected...
1172340000 >> Error detected...
1172915000 >> Error detected...
1173890000 >> Error detected...
1177290000 >> Error detected...
1177915000 >> Error detected...
1179640000 >> Error detected...
1180815000 >> Error detected...
1183665000 >> Error detected...
1183940000 >> Error detected...
1184515000 >> Error detected...
1185015000 >> Error detected...
1186415000 >> Error detected...
1187040000 >> Error detected...
1187540000 >> Error detected...
1188715000 >> Error detected...
1189565000 >> Error detected...
1189815000 >> Error detected...
1190140000 >> Error detected...
1190715000 >> Error detected...
1191865000 >> Error detected...
1195265000 >> Error detected...
1195890000 >> Error detected...
1197615000 >> Error detected...
1198790000 >> Error detected...
1201640000 >> Error detected...
1201915000 >> Error detected...
1202490000 >> Error detected...
1202815000 >> Error detected...
1204390000 >> Error detected...
1205015000 >> Error detected...
1205515000 >> Error detected...
1206690000 >> Error detected...
1207540000 >> Error detected...
1207790000 >> Error detected...
1208115000 >> Error detected...
1208690000 >> Error detected...
1209665000 >> Error detected...
1210665000 >> Error detected...
1210965000 >> Error detected...
1211240000 >> Error detected...
1211890000 >> Error detected...
1212515000 >> Error detected...
1213165000 >> Error detected...
1213765000 >> Error detected...
1214615000 >> Error detected...
1214865000 >> Error detected...
1215190000 >> Error detected...
1215765000 >> Error detected...
1216915000 >> Error detected...
1220315000 >> Error detected...
1220940000 >> Error detected...
1222490000 >> Error detected...
1223840000 >> Error detected...
1226690000 >> Error detected...
1226965000 >> Error detected...
1227540000 >> Error detected...
1227865000 >> Error detected...
1229265000 >> Error detected...
1230040000 >> Error detected...
1230540000 >> Error detected...
1231715000 >> Error detected...
1232565000 >> Error detected...
1232815000 >> Error detected...
1233140000 >> Error detected...
1233715000 >> Error detected...
1234690000 >> Error detected...
1238265000 >> Error detected...
1238890000 >> Error detected...
1240440000 >> Error detected...
1241615000 >> Error detected...
1244640000 >> Error detected...
1244915000 >> Error detected...
1245490000 >> Error detected...
1245815000 >> Error detected...
1247215000 >> Error detected...
1247840000 >> Error detected...
1248340000 >> Error detected...
1249690000 >> Error detected...
1250540000 >> Error detected...
1250790000 >> Error detected...
1251115000 >> Error detected...
1251690000 >> Error detected...
1252665000 >> Error detected...
1256240000 >> Error detected...
1256865000 >> Error detected...
1258415000 >> Error detected...
1259590000 >> Error detected...
1262615000 >> Error detected...
1262890000 >> Error detected...
1263465000 >> Error detected...
1263790000 >> Error detected...
1265190000 >> Error detected...
1265815000 >> Error detected...
1266315000 >> Error detected...
1267490000 >> Error detected...
1268515000 >> Error detected...
1268765000 >> Error detected...
1269090000 >> Error detected...
1269665000 >> Error detected...
1270640000 >> Error detected...
1274040000 >> Error detected...
1274840000 >> Error detected...
1276390000 >> Error detected...
1277565000 >> Error detected...
1280415000 >> Error detected...
1280840000 >> Error detected...
1281415000 >> Error detected...
1281740000 >> Error detected...
1283140000 >> Error detected...
1283765000 >> Error detected...
1284265000 >> Error detected...
1285440000 >> Error detected...
1286290000 >> Error detected...
1286540000 >> Error detected...
1286865000 >> Error detected...
1287590000 >> Error detected...
1288565000 >> Error detected...
1291965000 >> Error detected...
1292590000 >> Error detected...
1294315000 >> Error detected...
1295490000 >> Error detected...
1298340000 >> Error detected...
1298615000 >> Error detected...
1299190000 >> Error detected...
1299515000 >> Error detected...
1301090000 >> Error detected...
1301715000 >> Error detected...
1302215000 >> Error detected...
1303390000 >> Error detected...
1304240000 >> Error detected...
1304490000 >> Error detected...
1304815000 >> Error detected...
1305390000 >> Error detected...
1306540000 >> Error detected...
1307365000 >> Error detected...
1307665000 >> Error detected...
1307940000 >> Error detected...
1308590000 >> Error detected...
1309215000 >> Error detected...
1309865000 >> Error detected...
1310465000 >> Error detected...
1311315000 >> Error detected...
1311565000 >> Error detected...
1311890000 >> Error detected...
1312465000 >> Error detected...
1313615000 >> Error detected...
1317015000 >> Error detected...
1317640000 >> Error detected...
1319365000 >> Error detected...
1320540000 >> Error detected...
1323390000 >> Error detected...
1323665000 >> Error detected...
1324240000 >> Error detected...
1324565000 >> Error detected...
1326140000 >> Error detected...
1326765000 >> Error detected...
1327265000 >> Error detected...
1328440000 >> Error detected...
1329290000 >> Error detected...
1329540000 >> Error detected...
1329865000 >> Error detected...
1330440000 >> Error detected...
1331415000 >> Error detected...
1334990000 >> Error detected...
1335615000 >> Error detected...
1337165000 >> Error detected...
1338515000 >> Error detected...
1341365000 >> Error detected...
1341640000 >> Error detected...
1342215000 >> Error detected...
1342540000 >> Error detected...
1343940000 >> Error detected...
1344565000 >> Error detected...
1345240000 >> Error detected...
1346415000 >> Error detected...
1347265000 >> Error detected...
1347515000 >> Error detected...
1347840000 >> Error detected...
1348415000 >> Error detected...
1349390000 >> Error detected...
1352965000 >> Error detected...
1353590000 >> Error detected...
1355140000 >> Error detected...
1356315000 >> Error detected...
1359340000 >> Error detected...
1359615000 >> Error detected...
1360190000 >> Error detected...
1360515000 >> Error detected...
1361915000 >> Error detected...
1362540000 >> Error detected...
1363040000 >> Error detected...
1364390000 >> Error detected...
1365240000 >> Error detected...
1365490000 >> Error detected...
1365815000 >> Error detected...
1366390000 >> Error detected...
1367365000 >> Error detected...
1370940000 >> Error detected...
1371565000 >> Error detected...
1373115000 >> Error detected...
1374290000 >> Error detected...
1377315000 >> Error detected...
1377590000 >> Error detected...
1378165000 >> Error detected...
1378490000 >> Error detected...
1379890000 >> Error detected...
1380515000 >> Error detected...
1381015000 >> Error detected...
1382190000 >> Error detected...
1383215000 >> Error detected...
1383465000 >> Error detected...
1383790000 >> Error detected...
1384365000 >> Error detected...
1385340000 >> Error detected...
1386165000 >> Error detected...
1386465000 >> Error detected...
1386740000 >> Error detected...
1387390000 >> Error detected...
1388015000 >> Error detected...
1388665000 >> Error detected...
1389265000 >> Error detected...
1390290000 >> Error detected...
1390540000 >> Error detected...
1390865000 >> Error detected...
1391440000 >> Error detected...
1392415000 >> Error detected...
1395815000 >> Error detected...
1396615000 >> Error detected...
1398165000 >> Error detected...
1399340000 >> Error detected...
1402190000 >> Error detected...
1402615000 >> Error detected...
1403190000 >> Error detected...
1403515000 >> Error detected...
1404915000 >> Error detected...
1405540000 >> Error detected...
1406040000 >> Error detected...
1407215000 >> Error detected...
1408065000 >> Error detected...
1408315000 >> Error detected...
1408815000 >> Error detected...
1409390000 >> Error detected...
1410365000 >> Error detected...
1413765000 >> Error detected...
1414390000 >> Error detected...
1416115000 >> Error detected...
1417290000 >> Error detected...
1420140000 >> Error detected...
1420415000 >> Error detected...
1420990000 >> Error detected...
1421315000 >> Error detected...
1422890000 >> Error detected...
1423515000 >> Error detected...
1424015000 >> Error detected...
1425190000 >> Error detected...
1426040000 >> Error detected...
1426290000 >> Error detected...
1426615000 >> Error detected...
1427190000 >> Error detected...
1428340000 >> Error detected...
1431740000 >> Error detected...
1432365000 >> Error detected...
1433915000 >> Error detected...
1435240000 >> Error detected...
1438090000 >> Error detected...
1438365000 >> Error detected...
1438940000 >> Error detected...
1439265000 >> Error detected...
1440840000 >> Error detected...
1441465000 >> Error detected...
1441965000 >> Error detected...
1443140000 >> Error detected...
1443990000 >> Error detected...
1444240000 >> Error detected...
1444565000 >> Error detected...
1445140000 >> Error detected...
1446115000 >> Error detected...
1446940000 >> Error detected...
1447390000 >> Error detected...
1447665000 >> Error detected...
1448315000 >> Error detected...
1448940000 >> Error detected...
1449590000 >> Error detected...
1450190000 >> Error detected...
1451040000 >> Error detected...
1451290000 >> Error detected...
1451615000 >> Error detected...
1452190000 >> Error detected...
1453165000 >> Error detected...
1456740000 >> Error detected...
1457365000 >> Error detected...
1458915000 >> Error detected...
1460265000 >> Error detected...
1463115000 >> Error detected...
1463390000 >> Error detected...
1463965000 >> Error detected...
1464290000 >> Error detected...
1465690000 >> Error detected...
1466490000 >> Error detected...
1466990000 >> Error detected...
1468165000 >> Error detected...
1469015000 >> Error detected...
1469265000 >> Error detected...
1469590000 >> Error detected...
1470165000 >> Error detected...
1471140000 >> Error detected...
